Time,Duration,SrcDevice,DstDevice,Protocol,SrcPort,DstPort,SrcPackets,DstPackets,SrcBytes,DstBytes
1720014186,15506,Comp782474,Comp627014,6,Port6715,25,8109,5774,8133327,513886
1720015197,15220,Comp329842,FileServer,6,Port55697,445,6482,3462,5535628,3905136
1720016585,14272,Comp943258,Comp100000,17,Port10020,138,6821,11223,5961554,9887463
1720016744,13090,Comp721407,Comp567603,6,Port14048,80,9912,8245,10258920,1830390
1720016876,3000,Comp923139,Comp588967,17,Port30195,500,9053,1835,4535553,1260645
1720018340,14928,Comp437739,Comp834256,6,Port48436,143,9010,1621,4946490,1441069
1720018959,14095,Comp144583,Comp892394,6,Port54456,53,3364,840,1897296,320040
1720019083,2238,Comp834256,Comp795264,6,Port39207,53,765,2967,500310,715047
1720019458,1580,Comp573916,Comp721407,6,Port32795,25,5503,8857,2564398,3569371
1720019658,13696,Comp802471,Comp679356,17,Port25901,123,4061,742,1319825,101654
1720020356,7023,Comp329480,Comp860515,17,Port3843,68,4019,2991,3094630,1175463
1720020633,5905,Comp127895,Comp952578,17,Port18283,138,6241,497,8038408,407043
1720020666,7138,Comp127895,Comp364557,17,Port14877,67,11104,7794,954944,9430740
1720021059,15615,Comp130485,Comp892394,6,Port4730,53,9643,9769,9749073,12836466
1720021725,6547,Comp235883,Comp606940,6,Port49090,53,8100,6349,9979200,6488678
1720022153,6664,Comp439536,Comp606940,17,Port23821,67,8568,10870,10650024,6076330
1720022243,7187,Comp584383,Comp150536,6,Port33899,445,4965,8261,6375060,11590183
1720022335,978,Comp846125,Comp954988,17,Port13960,68,6593,9166,3316279,12667412
1720022862,675,Comp962233,Comp946215,6,Port39165,445,5205,3764,973335,2115368
1720024001,7459,Comp595110,Comp723487,6,Port9791,443,9700,10381,14482100,570955
1720024475,303,Comp846125,Comp293600,6,Port44745,25,11884,7573,12608924,5096629
1720025702,13622,Comp130485,Comp198162,6,Port48665,587,5219,1039,2927859,747041
1720026186,7639,Comp860515,Comp920919,6,Port21114,25,8651,991,11099233,1018748
1720026417,9017,Comp198162,Comp490789,6,Port14733,53,668,10777,371408,2737358
1720027806,6049,Comp654763,Comp131751,6,Port51353,587,4821,3302,5467014,2757170
1720028342,13745,Comp304009,Comp675254,6,Port15420,143,10446,5592,15063132,2801592
1720028555,7695,Comp803281,Comp922028,6,Port12521,53,8237,9124,9563157,6961612
1720031238,635,Comp257122,Comp207492,6,Port22989,22,6319,9223,6293724,682502
1720031341,8790,Comp664505,Comp131751,6,Port63379,445,2565,324,818235,262764
1720031748,3189,Comp231236,Comp675254,17,Port30870,138,9701,7389,13600802,672399
1720031888,10710,Comp318192,Comp846125,6,Port17969,53,11646,10957,7698006,14079745
1720032321,10145,Comp384614,Comp588967,6,Port34164,110,4705,4198,4465045,4533840
1720035710,8542,Comp439536,Comp147986,6,Port23499,110,9714,6512,9063162,9012608
1720036047,6936,Comp846141,Comp972911,6,Port43895,995,7063,3177,2818137,3161115
1720036122,10728,Comp314473,Comp638936,6,Port29334,993,4769,8654,4387480,12712726
1720036611,12243,Comp721407,WebServer,6,Port38990,80,3973,1417,2423530,487448
1720037413,15814,Comp912181,Comp663497,6,Port29172,443,6036,6233,3319800,299184
1720037772,17326,Comp393198,Comp396858,6,Port32098,3389,4915,4951,6360010,6708605
1720038057,1497,Comp952578,Comp246872,6,Port29870,110,7405,7693,8101070,7716079
1720038864,11877,Comp384614,Comp993209,6,Port26437,25,1769,5929,1333826,6189876
1720040822,1524,Comp362609,Comp562571,6,Port63199,80,5725,11780,383575,5454140
1720040967,7513,Comp827253,Comp627014,6,Port18170,445,8899,11797,9566425,6252410
1720042069,13343,Comp131751,Comp257122,6,Port52983,3389,10140,3409,11326380,3514679
1720042974,9763,Comp144583,Comp593922,6,Port46823,80,3364,447,952012,283845
1720043628,14540,Comp393198,Comp198162,6,Port35084,22,7203,5912,8247435,892712
1720044850,16430,Comp255630,Comp567603,6,Port21506,53,3621,7081,2255883,3306827
1720044901,17529,Comp405733,Comp437739,6,Port32236,110,716118,9020,686041480,18619421
1720045797,12114,Comp114833,Comp424132,6,Port55832,25,4250,6299,5376250,7886348
1720046232,12121,Comp993209,Comp431255,6,Port12761,22,8081,7036,8582022,3813512
1720046295,14457,Comp235883,Comp490789,17,Port38838,53,5186,274,7327818,208514
1720046555,4195,Comp246872,Comp654038,6,Port50366,993,3206,9151,484106,8354863
1720047072,5428,Comp654038,WebServer,6,Port41921,53,6914,3956,3546882,937572
1720047790,6143,Comp995267,DNS,6,Port10323,443,7487,4612,943362,4100068
1720048266,13398,Comp147986,Comp922028,17,Port33847,68,8193,5075,2384163,1695050
1720048870,6322,Comp393198,Comp556450,6,Port12830,587,9495,859,5554575,1135598
1720049336,2510,Comp827253,Comp100000,6,Port60927,3389,8108,5931,599992,2805363
1720050606,14375,Comp393198,Comp328683,17,Port23715,67,10216,4574,6313488,2213816
1720051234,13496,Comp405733,Comp966362,6,Port28221,80,5084,2801,1143900,1759028
1720053208,10695,Comp834256,Comp943258,6,Port56343,3389,6104,2950,1251320,1669700
1720053296,15868,Comp846141,Comp187068,6,Port28568,22,5783,409,7286580,370145
1720054181,14253,Comp593707,Comp396858,6,Port13535,3389,6938,10652,7812188,11663940
1720054815,16204,Comp405733,Comp424132,6,Port58634,25,1684,3526,1187220,5102122
1720054836,4676,Comp675254,Comp235883,6,Port42827,25,10250,10494,8897000,14019984
1720056018,2099,Comp579118,Comp100000,6,Port40047,25,6258,10036,2909970,4235192
1720056307,6148,Comp795264,Comp802471,6,Port5900,25,6641,5489,4974109,5055369
1720056586,14938,Comp207492,Comp654038,6,Port29999,143,10524,9694,12334128,5031186
1720056863,16644,Comp384614,Comp954988,17,Port30655,123,5578,2535,4467978,3082560
1720057319,1979,Comp477748,Comp595110,6,Port17935,587,5525,2169,6618950,160506
1720057628,15399,Comp584383,Comp328683,6,Port37438,22,6782,10788,5066154,16095696
1720057720,8611,Comp579118,Comp304009,6,Port16832,80,11256,7755,6393408,4521165
1720058869,14723,Comp431255,Comp293600,6,Port31405,25,3042,8270,4094532,9320290
1720059107,12285,Comp678020,Comp385395,6,Port52726,25,1870,11083,2533850,11360075
1720059979,1081,Comp437739,Comp952578,6,Port48458,587,1295,167,483035,96025
1720060205,8716,Comp584383,Comp920919,6,Port19052,445,8843,2065,6331588,2985990
1720060483,1602,Comp547568,Comp714275,6,Port14412,53,129,11540,150543,4962200
1720061195,6119,Comp846125,Comp477748,17,Port1394,53,8496,1544,3576816,1729280
1720061348,13636,Comp393198,Comp920919,6,Port23316,3389,10612,5382,12023396,7507890
1720061395,12309,Comp663497,Comp556450,6,Port2279,443,8178,265,11064834,56180
1720061576,12683,Comp431255,Comp387691,6,Port9296,53,2047,3909,786048,5386602
1720061605,11896,Comp654038,Comp118871,6,Port64142,3389,7954,2068,2091902,2769052
1720062121,265,Comp852902,Comp846141,6,Port56224,443,5314,3069,7540566,1822986
1720062131,10492,Comp246872,Comp131751,6,Port37140,80,268,9767,400392,12345488
1720063376,8730,Comp922028,Comp588967,17,Port50991,137,2372,3309,3066996,162141
1720064341,9512,Comp309437,Comp714633,6,Port32571,443,548169,9767,480744764,15862145
1720064435,3830,Comp431255,Comp898521,17,Port39815,500,6732,10738,1104048,12219844
1720064827,12703,Comp794320,Comp955337,17,Port60238,161,5996,6485,8250496,9104940
1720065062,10936,Comp573916,Comp257122,6,Port6095,53,9315,6462,3073950,1441026
1720065157,7255,Comp782474,Comp349447,17,Port23712,1900,6290,4002,1893290,4330164
1720065331,1019,Comp952578,Comp336148,6,Port8703,110,11619,8000,12629853,1520000
1720066217,1238,Comp562571,FileServer,6,Port52310,993,611,9681,371488,11442942
1720068293,6462,Comp198162,Comp517345,6,Port54090,995,3436,10358,4487416,13962584
1720068435,9674,Comp714275,Comp923139,6,Port47589,993,2261,2340,2970954,1661400
1720068772,17944,Comp675254,Comp147986,6,Port40307,3389,4966,8234,6033690,1539758
1720068875,13022,Comp852902,Comp584383,17,Port31802,138,10932,1678,13796184,557096
1720068889,8737,Comp744581,Comp224037,6,Port2540,22,4912,5882,4111344,4587960
1720069940,5385,Comp723487,Comp437739,6,Port50997,443,3787,1070,4968544,1290420
1720070456,3035,Comp972911,Comp257122,6,Port58697,143,1015,6600,1396640,5266800
1720072629,2534,Comp638936,Comp714633,6,Port63328,587,4727,10215,2122423,7528455
1720075166,1294,Comp852902,Comp558739,6,Port23077,53,2746,9804,1812360,8980464
1720075810,16413,Comp664505,Comp679356,6,Port13965,587,2271,8578,2137011,12455256
1720076742,286,Comp846125,Comp588967,17,Port43214,138,1606,6930,2078164,8260560
1720077271,15547,Comp794320,Comp328683,6,Port2153,587,7586,7495,4612288,1971185
1720077331,10503,Comp477748,Comp966362,6,Port4911,143,8506,1197,3564014,390222
1720077901,11132,Comp458510,Comp293600,6,Port54017,110,8888,8729,4515104,4870782
1720078035,17255,Comp721407,Comp349447,6,Port62751,53,643,8178,776101,3557430
1720078153,14159,Comp952578,Comp235883,17,Port27060,161,11055,1721,8832945,1915473
1720078178,2649,Comp385395,Comp517345,6,Port33783,22,6085,7588,2507020,11290944
1720079879,17438,Comp231236,Comp431255,6,Port36144,53,6745,4617,7304835,4039875
1720080074,3170,Comp714633,Comp131751,6,Port9958,143,10529,6111,10560587,8182629
1720080489,10247,Comp593707,Comp150536,17,Port15375,500,3308,9769,2636476,6564768
1720080532,11532,Comp884824,Comp278057,6,Port20276,3389,6040,3865,5701760,4035060
1720081086,4396,Comp122535,Comp954988,6,Port55329,110,852,11001,320352,11705064
1720081587,11345,Comp668118,Comp187068,6,Port29288,443,5908,5002,1807848,2340936
1720082359,11498,Comp579118,Comp144583,6,Port47550,80,3194,6157,3890292,6834270
1720082713,17637,Comp802471,Comp127895,6,Port13568,53,2189,346,2259048,284066
1720083056,16462,Comp562571,Comp118871,6,Port62527,445,7420,1464,10885140,1291248
1720083330,7195,Comp860515,Comp328683,6,Port58016,143,1561,3380,2201010,1379040
1720083770,12422,Comp721407,Comp231236,17,Port31683,68,11689,11742,6651041,5929710
1720083925,14777,Comp228954,Comp558739,6,Port15576,995,2790,3118,1994850,4028456
1720084479,473,Comp663497,Comp309437,17,Port64024,138,951,4740,1216329,4469820
1720085043,12327,Comp920919,Comp304009,6,Port53157,110,5360,10248,235840,2357040
1720086398,16508,Comp846141,Comp499855,6,Port33980,443,4661,3827,6063961,3199372
1720088593,2165,Comp122535,FileServer,6,Port18284,445,7894,9755,2241896,9198965
1720089924,13566,Comp675254,Comp782474,6,Port41113,25,8007,1439,3362940,1732556
1720090301,1087,Comp573916,Comp923139,6,Port24917,993,7106,1598,5279758,2053430
1720091022,7233,Comp567603,Comp141961,6,Port44513,80,6895,151,7370755,150094
1720091101,14750,Comp493273,Comp458510,6,Port54727,22,9325,1498,5184700,86884
1720091160,17774,Comp668118,Comp954988,6,Port32620,443,7820,7244,11026200,5541660
1720091176,13100,Comp393198,Comp794320,6,Port4131,995,1674,1089,1978668,371349
1720091448,12990,Comp111156,Comp516294,17,Port37330,161,5559,7349,6226080,492383
1720092880,4665,Comp920919,Comp405733,6,Port56417,80,8253,7189,9631251,9978332
1720092904,14858,Comp744581,BackupServer,6,Port15429,110,3205,2810,266015,795230
1720093049,11860,Comp147986,Comp723487,6,Port62916,445,10364,446,12861724,177508
1720093467,16977,Comp385395,Comp918279,6,Port24400,53,5793,1943,5341146,1031733
1720093733,10852,Comp336148,Comp846141,6,Port45157,993,3856,1717,1199216,1234523
1720094084,713,Comp349447,Comp920919,6,Port46310,80,4579,6336,5384904,5816448
1720094427,9197,Comp579118,Comp846141,6,Port12770,53,7430,11171,1441420,5507303
1720094728,13939,Comp654763,Comp654038,6,Port3539,25,8511,5224,8017362,6247904
1720095828,14183,Comp912181,Comp356695,6,Port62231,587,3069,7604,2673099,2053080
1720096122,6954,Comp405733,Comp579118,6,Port46209,22,2060,3643,166860,5249563
1720096266,3079,Comp127895,Comp846141,17,Port41750,1900,1100,1101,645700,1419189
1720096555,15643,Comp349447,Comp385395,6,Port20621,3389,366061,2618,402667598,5828299
1720096583,14817,Comp431255,Comp349447,6,Port7997,25,11126,5750,15821172,638250
1720096973,15820,Comp922028,WebServer,6,Port18560,25,11508,10311,13924680,11383344
1720097843,12071,Comp795264,Comp588967,6,Port36358,3389,6717,2982,10035198,3184776
1720099900,14915,Comp654038,Comp293600,6,Port45762,25,6381,11805,4798512,11179335
1720100166,7250,Comp246872,Comp946215,6,Port21606,110,6040,7665,3134760,3441585
1720100443,14025,Comp679356,Comp122535,6,Port14890,995,2847,4266,4093986,2849688
1720101034,8789,Comp231236,Comp490789,6,Port17120,25,4991,7468,2430617,4824328
1720101527,14297,Comp405733,Comp118871,6,Port63064,445,11230,8377,7243350,7790610
1720102445,2634,Comp364557,Comp490789,17,Port41700,1900,7393,8231,1737355,4304813
1720102540,5338,Comp675254,Comp111156,6,Port64934,143,2930,10386,3630270,6480864
1720103926,3859,Comp946215,Comp431255,6,Port1428,3389,1052,7943,225128,10842195
1720104072,7318,Comp384614,Comp966362,6,Port30576,445,9014,323,820274,226746
1720104337,14661,Comp834256,Comp714633,6,Port30531,80,10835,4527,13608760,4105989
1720104714,2071,Comp678020,Comp847313,6,Port26920,3389,1315,10896,1666105,14927520
1720105352,13149,Comp834256,Mail,17,Port26285,161,4504,2485,5792144,3526215
1720105485,14950,Comp130485,Comp803281,6,Port6122,25,10225,5989,13231150,5168507
1720106134,12080,Comp549343,Comp668118,6,Port3099,110,3039,6002,747594,2562854
1720106477,11628,Comp493273,Comp150536,6,Port51228,53,2167,6680,1230856,1242480
1720106862,2492,Comp962233,Comp314473,6,Port29442,445,4730,10427,5472610,13502965
1720107863,11029,Comp324834,Comp207492,6,Port11521,995,4730,6478,2322430,5208312
1720107996,4076,Comp246872,Comp431255,17,Port23444,1900,5777,6,6793752,5196
1720108751,4430,Comp150536,Comp714633,6,Port61216,993,11587,2915,15851016,4171365
1720109761,15506,Comp922028,Comp579118,6,Port31195,995,11669,7572,16838367,4406904
1720109772,11071,Comp336148,Comp187068,6,Port64929,3389,6953,9386,8169775,1745796
1720110051,17881,Comp228954,Comp892394,6,Port11442,445,904,7760,1087512,7938480
1720110294,8182,Comp224037,Comp293600,6,Port8920,80,3168,8788,2892384,12804116
1720111877,6440,Comp574773,Comp678020,6,Port37396,25,2169,2889,331857,832032
1720111910,17914,Comp314473,Comp384614,6,Port45086,3389,8,1149,5416,1701669
1720112023,11205,Comp517345,Comp328683,6,Port64329,110,4593,11381,6572583,9434849
1720112620,15535,Comp100000,Comp884824,6,Port31086,110,82,6753,112422,5794074
1720112687,801,Comp884824,Comp993209,17,Port13937,53,6892,8861,2674096,12768701
1720113539,9468,Comp304009,Comp458510,6,Port35934,587,192078,11484,251430573,15238242
1720113887,14705,Comp675254,Comp606940,6,Port20826,993,8697,2190,4244136,2470320
1720114491,14552,Comp714633,Comp827253,6,Port12608,995,6322,10453,4096656,543556
1720114501,12870,Comp679356,Comp993209,6,Port6727,995,11409,4395,11260683,4482900
1720115730,2961,Comp385395,Comp362609,6,Port47699,53,5819,7510,4451535,465620
1720116082,9843,Comp255630,Comp993209,6,Port42490,53,1879,4640,1732438,213440
1720116287,1826,Comp943258,Comp547568,6,Port11772,53,11062,2384,2024346,1444704
1720116329,14435,Comp231236,Comp922028,6,Port37078,445,3707,10553,1753411,6162952
1720116408,11352,Comp714633,Comp130485,6,Port58136,443,9169,4166,11213687,4928378
1720116415,3489,Comp477748,Comp923139,6,Port53800,995,9393,297,8866992,398277
1720116937,13082,Comp318192,Comp946215,17,Port30310,1900,11096,1804,14069728,2552660
1720117088,12948,Comp794320,Comp847313,6,Port4719,993,7682,11537,11131218,10960150
1720118289,955,Comp678020,Comp588967,6,Port41980,22,6141,9863,3432819,2613695
1720118828,1606,Comp549343,Comp257122,6,Port34325,587,4619,7974,1963075,8125506
1720118862,3618,Comp122535,Comp627014,6,Port60490,443,5360,9344,2637120,7026688
1720119136,1262,Comp393198,Comp898521,6,Port36720,3389,9364,7783,8193500,6319796
1720120052,9671,Comp100000,Comp885616,6,Port48629,110,6793,10924,2771544,8433328
1720121211,15838,Comp795264,Comp834256,17,Port35114,68,590,1195,359310,1588155
1720122472,1131,Comp795264,FileServer,6,Port35915,110,4466,760,1308538,452200
1720122789,11061,Comp257122,Comp995267,6,Port21502,25,10969,8338,6614307,12065086
1720122793,7633,Comp558739,Comp349447,6,Port27001,110,2530,11576,3600190,9584928
1720123155,15053,Comp658094,Comp731825,6,Port20115,80,5667,6975,3728886,7281900
1720125131,8677,Comp329480,Comp144583,6,Port30837,995,10040,11597,11525920,16119830
1720125891,12036,Comp517345,Comp314473,6,Port62408,53,3485,4811,2327980,5912719
1720126226,16592,Comp892394,Comp198162,6,Port23066,25,8166,8092,5487552,5502560
1720126913,2451,Comp198162,Comp314473,6,Port30909,443,9421,6108,9430421,2064504
1720127199,5682,Comp517345,Comp803281,6,Port62064,443,3908,10580,781600,2549780
1720127312,4855,Comp723487,Comp952578,6,Port10779,443,10748,7766,5997384,4434386
1720127666,3036,Comp278057,Comp943990,6,Port17336,25,5355,5261,1301265,5318871
1720128198,11662,Comp923139,Comp714275,6,Port32839,143,3553,2936,1172490,3537880
1720128827,136,Comp803281,Comp692997,6,Port27431,3389,2706,3760,2911656,319600
1720129876,6948,Comp846141,Comp329480,6,Port23031,25,3200,897,940800,640458
1720129978,2189,Comp588967,Comp255630,6,Port51228,993,6754,1852,2269344,2615024
1720130584,11074,Comp336148,Comp499855,6,Port33207,25,2704,6106,2368704,7571440
1720130947,13515,Comp714633,Comp477748,6,Port24528,53,4300,378,2352100,533736
1720130989,8403,Comp558739,Comp362609,6,Port31923,995,8530,5655,1868070,8126235
1720131760,8009,Comp885616,Comp664505,6,Port58221,80,611703,503,835586732,16220191
1720131833,8096,Comp852902,Comp606940,17,Port64500,68,8147,1943,11299889,2009062
1720131882,3577,Comp228954,Comp846125,17,Port16705,67,6340,8298,5629920,7003512
1720132047,6760,Comp885616,Comp847313,6,Port3616,445,8354,346,6733324,254656
1720132089,16794,Comp678020,FileServer,6,Port3046,110,4941,4038,6028020,4861752
1720132836,741,Comp318192,Comp678020,6,Port29757,143,3251,2284,4749711,3206736
1720133278,14175,Comp114833,Comp499855,6,Port41585,993,8995,648,1718045,465264
1720133360,2966,Comp231236,Comp424132,6,Port4333,443,1621,2498,295022,2465526
1720133897,2059,Comp144583,Comp111156,6,Port33812,443,10861,1346,5669442,994694
1720134062,5141,Comp235883,Comp723487,6,Port26805,993,5143,966,2489212,935088
1720134135,4841,Comp962233,DNS,6,Port61217,143,9809,7983,13212723,11623248
1720134556,5692,Comp458510,Comp356695,6,Port39961,993,1186,1499,927452,1834776
1720134678,15290,Comp431255,Comp795264,6,Port28321,587,5939,11264,7263397,4235264
1720134685,16283,Comp954988,Comp396858,6,Port38869,995,5063,5839,5133882,7619895
1720136276,12464,Comp846141,Comp387691,17,Port9771,67,4277,4895,4687592,3955160
1720136876,2632,Comp898521,Comp336148,6,Port31668,443,6143,10509,8821348,9384537
1720137443,17019,Comp118871,Comp593922,6,Port22296,25,7945,9331,7126665,1931517
1720138365,15254,Comp329842,Comp144583,6,Port12699,25,11303,5045,13258419,3476005
1720140218,1373,Comp118871,Comp584383,6,Port26390,25,9802,11682,4234464,5619042
1720141264,6972,Comp663497,Comp993209,6,Port42246,445,2779,6368,1164401,1069824
1720142391,13957,Comp228954,Comp654763,6,Port38642,80,11743,8499,10498242,10895718
1720142699,1605,Comp493273,Comp744581,17,Port63210,1900,5980,11635,8108880,2652780
1720143104,1376,Comp668118,Comp885616,6,Port18732,445,5487,8676,625518,9422136
1720143260,10908,Comp246872,Comp663497,6,Port46161,110,133,7090,102543,7990430
1720143584,6060,Comp892394,Comp396858,6,Port36525,25,8019,7390,2686365,6894870
1720144032,7949,Comp918279,Comp562571,17,Port57396,1900,10642,7848,14164502,9935568
1720144081,13512,Comp336148,Comp224037,6,Port59603,443,3517,11732,2799532,2416792
1720144387,9807,Comp995267,Comp723487,17,Port46667,123,10408,8413,1051208,530019
1720145015,12798,Comp499855,Comp892394,6,Port28359,80,1050,3597,44100,4611354
1720145900,2269,Comp490789,Comp995267,6,Port35434,53,11602,263,11288746,80741
1720146007,39,Comp584383,Comp923139,17,Port43058,53,3037,9395,1151023,4462625
1720147003,4530,Comp860515,Comp954988,6,Port53014,53,5775,5857,577500,6132279
1720147864,3635,Comp224037,Comp437739,6,Port15790,22,174,4980,45588,4088580
1720147998,5833,Comp803281,Comp827253,17,Port57342,1900,10779,11221,2856435,3736593
1720148345,14014,Comp966362,BackupServer,6,Port52719,143,6113,1865,3325472,708700
1720150194,2736,Comp920919,Comp955337,6,Port6711,993,11648,450,12673024,567000
1720150585,2271,Comp884824,Comp627014,17,Port18420,500,4478,8872,5790054,7097600
1720150617,3614,Comp782474,Comp593922,17,Port16236,68,718,11090,586606,15370740
1720150690,5875,Comp336148,Comp962233,17,Port38428,67,8139,9952,11581797,8558720
1720151037,3551,Comp385395,Comp547568,17,Port14483,67,1957,10452,2338615,10535616
1720151120,3310,Comp584383,Comp114833,6,Port20393,22,7384,10363,2067520,5564931
1720152198,10433,Comp336148,Comp898521,17,Port13228,161,419,8226,466347,682758
1720152535,2007,Comp593922,DNS,6,Port5372,143,2015,11062,759655,8606236
1720153029,2772,Comp714275,Comp396858,6,Port30658,445,7654,4095,11067684,4529070
1720153265,15059,Comp692997,Comp293600,6,Port21646,993,8086,8938,10317736,5648816
1720153458,328,Comp304009,Comp437739,6,Port33571,443,1829,1105,243257,1430975
1720153971,1105,Comp437739,Comp314473,6,Port14702,25,2249,6331,656708,6698198
1720154189,1251,Comp993209,Comp122535,17,Port19498,500,10302,3487,7046568,2716373
1720155064,9649,Comp606940,Comp827253,6,Port58612,587,72,11264,80784,9394176
1720156110,12506,Comp654038,Comp304009,6,Port52957,445,2761,5233,2335806,1941443
1720156272,12468,Comp493273,Comp920919,6,Port18194,445,11642,2514,1909288,3320994
1720156377,12421,Comp384614,Comp579118,6,Port11460,443,6570,6832,6287490,860832
1720156626,1037,Comp606940,Comp723487,6,Port63885,443,324,927,319464,103824
1720156889,6202,Comp668118,Comp588967,6,Port44948,3389,10710,1521,14961870,1800864
1720157145,11402,Comp922028,Comp235883,6,Port32786,445,4101,5179,1751127,403962
1720157154,12277,Comp547568,Comp198162,6,Port46142,445,8583,7570,815385,5927310
1720158445,6013,Comp638936,Comp131751,6,Port15285,110,7650,6986,8675100,2200590
1720158457,15241,Comp396858,Comp966362,6,Port28643,143,4404,664,4690260,686576
1720158493,15003,Comp588967,Comp549343,6,Port26270,587,4445,8159,3547110,1737867
1720158829,13781,Comp995267,Comp731825,6,Port47528,995,6602,691,6932100,294366
1720158944,14358,Comp912181,Comp847313,6,Port12857,993,4575,9785,1377075,7896495
1720159347,17552,Comp228954,Comp884824,6,Port32576,445,2088,469,465624,277179
1720160867,14290,Comp846125,Comp663497,6,Port54806,993,8673,321,5437971,106572
1720161551,10538,Comp122535,Comp439536,6,Port13689,22,8091,6211,10882395,807430
1720163599,7176,Comp658094,Comp147986,6,Port8763,80,7226,9624,5708540,606312
1720164147,6517,Comp803281,Comp827253,6,Port54002,53,8899,9180,8658727,2937600
1720165414,14806,Comp516294,Comp943990,6,Port57377,445,6221,7201,9294174,3254852
1720166220,5326,Comp826274,Comp962233,6,Port28800,993,11140,2142,5358340,460530
1720168342,11340,Comp972911,Comp826274,6,Port3986,25,10635,11435,7880535,8953605
1720168367,9049,Comp387691,Comp795264,17,Port35905,137,11773,246,12255693,327918
1720168899,6816,Comp516294,Comp943258,6,Port20352,143,1298,4174,337480,4516268
1720169854,8114,Comp692997,Comp393198,6,Port38920,3389,1224,9049,766224,4415912
1720171231,1452,Comp207492,DNS,17,Port10048,137,312503,7403,263440871,7612204
1720171277,12770,Comp679356,Comp794320,6,Port52966,995,8310,9485,4013730,11031055
1720172104,1203,Comp714275,Comp731825,6,Port45231,53,2869,9198,1035709,13291110
1720172473,1329,Comp364557,Comp207492,17,Port42648,161,1382,11275,938378,9527375
1720172520,4525,Comp517345,Comp946215,6,Port34074,445,442,6196,585208,2050876
1720172900,9564,Comp884824,Comp952578,17,Port15230,137,6657,9851,4307079,12865406
1720173212,5393,Comp993209,Comp118871,6,Port61622,995,11748,1870,14767236,1477300
1720173607,15844,Comp595110,Comp329842,6,Port18169,22,5575,2088,5725525,173304
1720174067,16695,Comp336148,Comp606940,6,Port24647,22,8808,597,1999416,244173
1720174096,7079,Comp549343,Comp235883,6,Port60779,143,622,2454,854628,2004918
1720174634,17998,Comp356695,Comp803281,17,Port3652,53,2595,1336,2332905,1625912
1720175007,1603,Comp309437,Comp439536,6,Port9094,80,8164,9890,7102680,12698760
1720175030,2586,Comp794320,Comp198162,6,Port50160,445,4829,5938,5099424,1864532
1720175330,6253,Comp993209,Comp654038,6,Port24761,80,318,5330,31800,5836350
1720175432,16969,Comp885616,FileServer,6,Port38408,3389,2713,7675,1104191,11075025
1720176048,9065,Comp187068,DNS,6,Port38475,53,9518,4314,11421600,5202684
